Team,home_attacking_strength,home_defending_strength,away_attacking_strength,away_defending_strength,old_trafford_goals_conceded,at_home_goals_conceded
Arsenal,1.7069243156199676,1.0799136069114472,1.1272141706924315,0.7775377969762419,3,2
Aston Villa,1.0628019323671498,0.9071274298056157,0.5797101449275361,1.0799136069114472,1,1
Bournemouth,0.644122383252818,1.2095032397408207,0.5475040257648953,1.857451403887689,3,1
Brentford,1.1272141706924315,0.7775377969762419,0.7407407407407407,1.2095032397408207,1,0
Brighton,1.1916264090177133,0.9071274298056157,1.1272141706924315,1.3822894168466524,1,0
Chelsea,0.644122383252818,0.8207343412526998,0.5797101449275361,1.2095032397408207,4,1
Crystal Palace,0.6763285024154589,0.9935205183585314,0.6119162640901771,1.1231101511879051,2,1
Everton,0.5152979066022544,1.1663066954643628,0.5797101449275361,1.2958963282937366,2,2
Fulham,0.9983896940418678,1.2526997840172789,0.7729468599033815,1.0367170626349893,2,2
Leeds,0.8373590982286634,1.5982721382289418,0.7085346215780999,1.7710583153347734,2,2
Leicester,0.7407407407407407,1.1663066954643628,0.9017713365539451,1.7710583153347734,3,1
Liverpool,1.4814814814814814,0.7343412526997841,0.9339774557165862,1.2958963282937366,2,0
Manchester City,1.932367149758454,0.7343412526997841,1.0950080515297906,0.6911447084233262,2,3
Newcastle,1.1594202898550723,0.6047516198704104,1.0305958132045088,0.8207343412526998,0,0
Nottingham Forest,0.8695652173913043,1.0367170626349893,0.35426731078904994,1.9006479481641472,3,2
Southampton,0.6119162640901771,1.5982721382289418,0.5475040257648953,1.5550755939524838,0,1
Tottenham,1.1916264090177133,1.0799136069114472,1.0628019323671498,1.6414686825053997,2,2
West Ham,0.8373590982286634,1.0367170626349893,0.5152979066022544,1.3390928725701945,1,0
Wolves,0.6119162640901771,0.8639308855291576,0.38647342995169076,1.6414686825053997,2,1
